timestamp, power.draw [W]
2021/03/31 22:52:37.635, 4.52 W
2021/03/31 22:52:37.686, 4.52 W
2021/03/31 22:52:37.737, 4.47 W
2021/03/31 22:52:37.788, 4.47 W
2021/03/31 22:52:37.839, 4.44 W
2021/03/31 22:52:37.891, 4.44 W
2021/03/31 22:52:37.942, 2.46 W
2021/03/31 22:52:37.994, 2.46 W
2021/03/31 22:52:38.045, 2.84 W
2021/03/31 22:52:38.096, 2.84 W
2021/03/31 22:52:38.148, 2.08 W
2021/03/31 22:52:38.199, 2.08 W
2021/03/31 22:52:38.250, 2.69 W
2021/03/31 22:52:38.301, 2.69 W
2021/03/31 22:52:38.353, 2.56 W
2021/03/31 22:52:38.404, 2.56 W
2021/03/31 22:52:38.456, 2.09 W
2021/03/31 22:52:38.507, 2.09 W
2021/03/31 22:52:38.558, 2.32 W
2021/03/31 22:52:38.609, 2.32 W
2021/03/31 22:52:38.661, 2.40 W
2021/03/31 22:52:38.712, 2.40 W
2021/03/31 22:52:38.764, 2.92 W
2021/03/31 22:52:38.815, 2.92 W
2021/03/31 22:52:38.866, 2.08 W
2021/03/31 22:52:38.918, 2.08 W
2021/03/31 22:52:38.969, 2.09 W
2021/03/31 22:52:39.021, 2.09 W
2021/03/31 22:52:39.072, 2.16 W
2021/03/31 22:52:39.123, 2.16 W
2021/03/31 22:52:39.175, 2.12 W
2021/03/31 22:52:39.226, 2.12 W
2021/03/31 22:52:39.277, 2.42 W
2021/03/31 22:52:39.329, 2.07 W
2021/03/31 22:52:39.380, 2.07 W
2021/03/31 22:52:39.431, 2.11 W
2021/03/31 22:52:39.483, 2.11 W
2021/03/31 22:52:39.534, 2.59 W
2021/03/31 22:52:39.586, 2.59 W
2021/03/31 22:52:39.637, 2.10 W
2021/03/31 22:52:39.688, 2.10 W
2021/03/31 22:52:39.740, 2.44 W
2021/03/31 22:52:39.791, 2.44 W
2021/03/31 22:52:39.843, 3.13 W
2021/03/31 22:52:39.894, 3.13 W
2021/03/31 22:52:39.945, 3.04 W
2021/03/31 22:52:39.996, 3.04 W
2021/03/31 22:52:40.048, 2.48 W
2021/03/31 22:52:40.099, 2.48 W
2021/03/31 22:52:40.151, 2.10 W
2021/03/31 22:52:40.202, 2.10 W
2021/03/31 22:52:40.253, 2.91 W
2021/03/31 22:52:40.305, 2.91 W
2021/03/31 22:52:40.356, 2.09 W
2021/03/31 22:52:40.407, 2.09 W
2021/03/31 22:52:40.459, 2.09 W
2021/03/31 22:52:40.510, 2.09 W
2021/03/31 22:52:40.561, 2.10 W
2021/03/31 22:52:40.613, 2.10 W
2021/03/31 22:52:40.664, 2.10 W
2021/03/31 22:52:40.715, 2.10 W
2021/03/31 22:52:40.767, 2.42 W
2021/03/31 22:52:40.818, 2.42 W
2021/03/31 22:52:40.871, 2.57 W
2021/03/31 22:52:40.923, 2.57 W
2021/03/31 22:52:40.974, 4.81 W
2021/03/31 22:52:41.036, 3.87 W
2021/03/31 22:52:41.089, 3.87 W
2021/03/31 22:52:41.140, 4.35 W
2021/03/31 22:52:41.192, 4.35 W
2021/03/31 22:52:41.244, 6.85 W
2021/03/31 22:52:41.296, 6.85 W
2021/03/31 22:52:41.347, 6.05 W
2021/03/31 22:52:41.398, 6.05 W
2021/03/31 22:52:41.449, 5.72 W
2021/03/31 22:52:41.500, 5.72 W
2021/03/31 22:52:41.551, 6.27 W
2021/03/31 22:52:41.602, 6.27 W
2021/03/31 22:52:41.653, 6.49 W
2021/03/31 22:52:41.704, 6.49 W
2021/03/31 22:52:41.755, 6.26 W
2021/03/31 22:52:41.806, 6.26 W
2021/03/31 22:52:41.858, 6.52 W
2021/03/31 22:52:41.909, 6.52 W
2021/03/31 22:52:41.960, 6.38 W
2021/03/31 22:52:42.011, 6.38 W
2021/03/31 22:52:42.062, 6.03 W
2021/03/31 22:52:42.113, 6.03 W
2021/03/31 22:52:42.164, 6.15 W
2021/03/31 22:52:42.215, 6.15 W
2021/03/31 22:52:42.267, 6.21 W
2021/03/31 22:52:42.317, 6.21 W
2021/03/31 22:52:42.368, 5.82 W
2021/03/31 22:52:42.419, 5.82 W
2021/03/31 22:52:42.470, 5.27 W
2021/03/31 22:52:42.521, 5.27 W
2021/03/31 22:52:42.572, 5.22 W
2021/03/31 22:52:42.623, 5.22 W
2021/03/31 22:52:42.674, 5.99 W
2021/03/31 22:52:42.726, 5.99 W
2021/03/31 22:52:42.777, 9.28 W
2021/03/31 22:52:42.827, 9.28 W
2021/03/31 22:52:42.878, 11.83 W
2021/03/31 22:52:42.928, 11.83 W
2021/03/31 22:52:42.979, 12.29 W
2021/03/31 22:52:43.030, 12.29 W
2021/03/31 22:52:43.082, 11.59 W
2021/03/31 22:52:43.132, 11.59 W
2021/03/31 22:52:43.183, 11.47 W
2021/03/31 22:52:43.234, 11.47 W
2021/03/31 22:52:43.284, 11.67 W
2021/03/31 22:52:43.335, 11.67 W
2021/03/31 22:52:43.386, 12.23 W
2021/03/31 22:52:43.436, 12.23 W
2021/03/31 22:52:43.487, 11.90 W
2021/03/31 22:52:43.538, 11.90 W
2021/03/31 22:52:43.588, 11.70 W
2021/03/31 22:52:43.639, 11.70 W
2021/03/31 22:52:43.689, 11.61 W
2021/03/31 22:52:43.740, 11.61 W
2021/03/31 22:52:43.797, 12.24 W
2021/03/31 22:52:43.848, 12.24 W
2021/03/31 22:52:43.899, 14.98 W
2021/03/31 22:52:43.949, 14.98 W
2021/03/31 22:52:44.000, 11.58 W
2021/03/31 22:52:44.051, 11.58 W
2021/03/31 22:52:44.102, 11.68 W
2021/03/31 22:52:44.153, 11.75 W
2021/03/31 22:52:44.206, 11.75 W
2021/03/31 22:52:44.257, 11.57 W
2021/03/31 22:52:44.308, 11.57 W
2021/03/31 22:52:44.359, 11.65 W
2021/03/31 22:52:44.410, 11.65 W
2021/03/31 22:52:44.461, 11.62 W
2021/03/31 22:52:44.512, 11.62 W
2021/03/31 22:52:44.563, 11.62 W
2021/03/31 22:52:44.614, 11.62 W
2021/03/31 22:52:44.665, 11.69 W
2021/03/31 22:52:44.716, 11.69 W
2021/03/31 22:52:44.767, 11.71 W
2021/03/31 22:52:44.818, 11.71 W
2021/03/31 22:52:44.869, 11.60 W
2021/03/31 22:52:44.920, 11.60 W
2021/03/31 22:52:44.971, 11.51 W
2021/03/31 22:52:45.022, 11.51 W
2021/03/31 22:52:45.073, 11.58 W
2021/03/31 22:52:45.124, 11.58 W
2021/03/31 22:52:45.175, 7.79 W
2021/03/31 22:52:45.226, 7.79 W
2021/03/31 22:52:45.276, 7.57 W
2021/03/31 22:52:45.327, 7.57 W
2021/03/31 22:52:45.378, 5.58 W
2021/03/31 22:52:45.430, 5.58 W
2021/03/31 22:52:45.481, 6.64 W
2021/03/31 22:52:45.532, 6.64 W
2021/03/31 22:52:45.583, 5.60 W
2021/03/31 22:52:45.634, 5.60 W
2021/03/31 22:52:45.685, 6.86 W
2021/03/31 22:52:45.736, 6.86 W
2021/03/31 22:52:45.787, 8.06 W
2021/03/31 22:52:45.838, 8.06 W
2021/03/31 22:52:45.889, 7.64 W
2021/03/31 22:52:45.939, 7.64 W
2021/03/31 22:52:45.990, 7.72 W
2021/03/31 22:52:46.041, 7.72 W
